YEAR,REGION,ESTLOSS,TOTDISP,DIRCTUSE,GGRSLOSS
2018,Alaska,307971,6247989,236992,0.0512
2018,Eastern,144586176,3053996620,92362802,0.0488
2018,ERCOT,18467266,411593020,32470755,0.0487
2018,Hawaii,481472,9796773,431799,0.0514
2018,Western,34845796,743591885,18309642,0.048
2018,U.S.,198688682,4225226287,143811989,0.0487
