YEAR,BANAME,BACODE,NAMEPCAP,BAHTIAN,BAHTIOZ,BAHTIANT,BAHTIOZT,BANGENAN,BANGENOZ,BANOXAN,BANOXOZ,BASO2AN,BACO2AN,BACH4AN,BAN2OAN,BACO2EQA,BAHGAN,BANOXRTA,BANOXRTO,BASO2RTA,BACO2RTA,BACH4RTA,BAN2ORTA,BAC2ERTA,BAHGRTA,BANOXRA,BANOXRO,BASO2RA,BACO2RA,BACH4RA,BAN2ORA,BAC2ERA,BAHGRA,BANOXCRT,BANOXCRO,BASO2CRT,BACO2CRT,BACH4CRT,BAN2OCRT,BAHGCRT,BACNOXRT,BAONOXRT,BAGNOXRT,BAFSNXRT,BACNXORT,BAONXORT,BAGNXORT,BAFSNORT,BACSO2RT,BAOSO2RT,BAGSO2RT,BAFSS2RT,BACCO2RT,BAOCO2RT,BAGCO2RT,BAFSC2RT,BACCH4RT,BAOCH4RT,BAGCH4RT,BAFCH4RT,BACN2ORT,BAON2ORT,BAGN2ORT,BAFN2ORT,BACC2ERT,BAOC2ERT,BAGC2ERT,BAFSC2ERT,BACHGRT,BAFSHGRT,BACNOXR,BAONOXR,BAGNOXR,BAFSNXR,BACNXOR,BAONXOR,BAGNXOR,BAFSNOR,BACSO2R,BAOSO2R,BAGSO2R,BAFSS2R,BACCO2R,BAOCO2R,BAGCO2R,BAFSC2R,BACCH4R,BAOCH4R,BAGCH4R,BAFCH4R,BACN2OR,BAON2OR,BAGN2OR,BAFN2OR,BACC2ER,BAOC2ER,BAGC2ER,BAFSC2ER,BACHGR,BAFSHGR,BANBNOX,BANBNXO,BANBSO2,BANBCO2,BANBCH4,BANBN2O,BANBC2E,BANBHG,BAGENACL,BAGENAOL,BAGENAGS,BAGENANC,BAGENAHY,BAGENABM,BAGENAWI,BAGENASO,BAGENAGT,BAGENAOF,BAGENAOP,BAGENATN,BAGENATR,BAGENATH,BAGENACY,BAGENACN,BACLPR,BAOLPR,BAGSPR,BANCPR,BAHYPR,BABMPR,BAWIPR,BASOPR,BAGTPR,BAOFPR,BAOPPR,BATNPR,BATRPR,BATHPR,BACYPR,BACNPR,BANBGNCL,BANBGNOL,BANBGNGS,BANBGNNC,BANBGNHY,BANBGNBM,BANBGNWI,BANBGNSO,BANBGNGT,BANBGNOF,BANBGNOP,BANBCLPR,BANBOLPR,BANBGSPR,BANBNCPR,BANBHYPR,BANBBMPR,BANBWIPR,BANBSOPR,BANBGTPR,BANBOFPR,BANBOPPR
2018,Southern Company Services Inc. - Trans,SOCO,84787,1699172876,823692535,2306569279,1078648868,254970399,117198780,61706,24520,38049,130544024,20653461,3027381,131253272,--,0.484,0.418,0.298,1023.994,0.081,0.012,1029.557,--,0.073,0.06,0.045,153.656,0.012155009,0.002,154.491,--,0.63,0.544,0.388,1331.868,0.105,0.015,--,1.073,2.814,0.202,0.61,0.848,1.929,0.217,0.509,0.596,1.714,0.031,0.295,2002.088,1336.972,869.368,1396.583,0.197,0.061,0.019,0.102,0.029,0.011,0.002,0.014,2015.524,1341.616,870.456,1403.417,--,--,0.103,0.417,0.027,0.069,0.08,0.324,0.028,0.056,0.057,0.254,0.004,0.034,192.539,198.022,117.864,159.058,0.019,0.009,0.003,0.012,0.003,0.002,0,0.002,193.831,198.71,118.012,159.837,--,--,0.743,0.619,0.453,1409.33,0.107,0.015,1416.581,--,67675356,519913,118374063,48427722,7928963,9366000,0,2582303,0,89916,6165,235093133,19877266,11948303,196031411,58938988,0.265,0.002,0.464,0.19,0.031,0.037,0,0.01,0,0,0,0.922,0.078,0.047,0.769,0.231,42606286,239425,43950117,0,0,3221691,0,0,0,0,0,0.473,0.003,0.488,0,0,0.036,0,0,0,0,0
2018,Southwest Power Pool,SWPP,104016,1796876484,871866002,2656875169,1206315139,272308158,123008578,115763,55236,167679,162033181,30662906,4422278,163075387,--,0.85,0.898,1.232,1190.072,0.113,0.016,1197.727,--,0.129,0.127,0.187,180.35,0.01706456,0.002,181.51,--,1.282,1.354,1.857,1794.262,0.17,0.024,--,1.559,50.504,0.77,1.284,1.546,54.118,0.811,1.264,2.847,4.501,0.029,1.851,2230.282,4904.263,1047.519,1813.456,0.253,0.165,0.021,0.171,0.037,0.032,0.002,0.025,2247.564,4918.001,1048.683,1825.043,--,--,0.146,1.65,0.088,0.128,0.145,1.571,0.09,0.126,0.267,0.147,0.003,0.185,208.813,160.215,119.682,181.356,0.024,0.005,0.002,0.017,0.003,0.001,0,0.002,210.431,160.664,119.815,182.515,--,--,1.387,1.373,1.709,1750.912,0.153,0.022,1761.295,--,112509207,176988,65735876,14800429,11826896,1431093,64322860,745317,0,449565,309926,193981992,78326165,66499269,180612655,91695502,0.413,0.001,0.241,0.054,0.043,0.005,0.236,0.003,0,0.002,0.001,0.712,0.288,0.244,0.663,0.337,54394492,12686,40783157,0,0,495203,0,0,0,71219,0,0.568,0,0.426,0,0,0.005,0,0,0,0.001,0
2018,Southwestern Power Administration,SPA,2502,17808848,7674417,65504614,26697244,7169461,2907406,921,409,4262,1867301,457874,66606,1882948,--,0.257,0.281,1.189,520.904,0.064,0.009,525.269,--,0.103,0.107,0.479,209.705,0.025710469,0.004,211.462,--,1.024,1.121,4.74,2076.62,0.255,0.037,--,0.999,30.795,25.714,1.024,1.022,30.792,25.703,1.054,4.742,2.789,0.032,4.74,2077.18,1570.538,1206.112,2076.62,0.255,0.064,0.023,0.255,0.037,0.013,0.002,0.037,2094.593,1575.918,1207.357,2094.022,--,--,0.101,3.203,2.492,0.103,0.103,3.202,2.493,0.107,0.479,0.29,0.003,0.479,209.761,163.326,116.889,209.705,0.026,0.007,0.002,0.026,0.004,0.001,0,0.004,211.519,163.885,117.01,211.462,--,--,2.011,2.345,4.637,2054.221,0.247,0.036,2071.147,--,1795948,1898,559,0,3667934,0,1665703,37420,0,0,0,1798404,5371057,1703123,1798404,5371057,0.25,0,0,0,0.512,0,0.232,0.005,0,0,0,0.251,0.749,0.238,0.251,0.749,42266,1026,559,0,0,0,0,0,0,0,0,0.964,0.023,0.013,0,0,0,0,0,0,0,0
2018,Tampa Electric Company,TEC,14028,191943451,94144433,205374232,94358286,24067165,11535536,4621,2191,3744,13238961,1763239,233262,13295758,--,0.384,0.38,0.311,1100.168,0.073,0.01,1104.888,--,0.048,0.047,0.039,137.946,0.00918624,0.001,138.538,--,0.386,0.382,0.313,1105.101,0.074,0.01,--,0.997,0,0.135,0.32,0.989,0,0.143,0.326,1.328,0,0.055,0.329,2180.138,0,870.498,1152.486,0.173,0,0.019,0.052,0.025,0,0.002,0.007,2191.805,0,871.553,1155.825,--,--,0.078,0,0.019,0.039,0.075,0,0.02,0.039,0.104,0,0.008,0.04,170.855,0,124.334,139.843,0.014,0,0.003,0.006,0.002,0,0,0.001,171.77,0,124.485,140.248,--,--,0.351,0.355,0.35,1146.152,0.061,0.008,1150.077,--,3639679,335,18554712,0,0,392567,0,107434,0,0,1372438,23567164,500001,500001,23959731,107434,0.151,0,0.771,0,0,0.016,0,0.004,0,0,0.057,0.979,0.021,0.021,0.996,0.004,4787630,0,15047279,0,0,93843,0,0,0,0,0,0.24,0,0.755,0,0,0.005,0,0,0,0,0
2018,Tennessee Valley Authority,TVA,52648,789611549,384694484,1627346186,750117217,169376935,77628460,30438,12913,33868,63390468,9646002,1378892,63716498,--,0.359,0.333,0.4,748.514,0.057,0.008,752.363,--,0.077,0.067,0.086,160.561,0.012216136,0.002,161.387,--,0.698,0.646,0.777,1454.53,0.111,0.016,--,1.316,0.516,0.171,0.695,1.139,0.421,0.138,0.617,1.619,0.02,0.045,0.762,2129.042,1399.278,911.687,1468.943,0.221,0.027,0.018,0.111,0.032,0.003,0.002,0.016,2144.132,1400.772,912.73,1476.39,--,--,0.122,0.044,0.023,0.077,0.104,0.04,0.018,0.067,0.15,0.002,0.006,0.084,197.081,119.098,119.992,161.791,0.02,0.002,0.002,0.012,0.003,0,0,0.002,198.478,119.226,120.13,162.611,--,--,0.716,0.658,0.779,1522.093,0.118,0.017,1530.065,--,33250809,134673,52515464,61574163,20261034,1253745,41009,337882,0,8205,-49,147483265,21893670,1632636,87162846,82214088,0.196,0.001,0.31,0.364,0.12,0.007,0,0.002,0,0,0,0.871,0.129,0.01,0.515,0.485,27747612,429077,27060509,0,0,433726,0,0,0,0,0,0.498,0.008,0.486,0,0,0.008,0,0,0,0,0
2018,Tucson Electric Power Company,TEPC,3771,119904910,53909517,127075635,57734912,12325992,5529863,8296,3774,8846,11799055,2519806,364799,11884907,--,1.346,1.365,1.435,1914.5,0.204,0.03,1928.43,--,0.138,0.14,0.148,196.807,0.021015035,0.003,198.239,--,1.438,1.458,1.534,2045.471,0.218,0.032,--,1.331,0,2.08,1.435,1.356,0,2.039,1.474,1.77,0,0.04,1.53,2159.347,0,1304.552,2041.067,0.249,0,0.024,0.218,0.036,0,0.002,0.032,2176.369,0,1305.887,2055.918,--,--,0.129,0,0.192,0.138,0.13,0,0.185,0.14,0.172,0,0.004,0.148,209.756,0,120.278,196.807,0.024,0,0.002,0.021,0.004,0,0,0.003,211.409,0,120.401,198.239,--,--,1.523,1.567,1.342,1956.649,0.194,0.028,1969.801,--,9923571,14257,1599814,0,0,0,68990,720244,0,0,-884,11536758,789234,789234,11536758,789234,0.805,0.001,0.13,0,0,0,0.006,0.058,0,0,0,0.936,0.064,0.064,0.936,0.064,4618289,0,1516521,0,0,0,0,0,0,0,0,0.753,0,0.247,0,0,0,0,0,0,0,0
2018,Turlock Irrigation District,TIDC,762,12055683,5862868,15059035,8017274,1728748,916532,45,22,4,716461,25290,2530,717155,--,0.052,0.049,0.004,828.879,0.015,0.001,829.681,--,0.007,0.008,0.001,118.859,0.002097767,0,118.974,--,0.064,0.06,0.005,1023.881,0.018,0.002,--,0,0,0.064,0.064,0,0,0.066,0.066,0,0,0.005,0.005,0,0,1023.881,1023.881,0,0,0.018,0.018,0,0,0.002,0.002,0,0,1024.871,1024.871,--,--,0,0,0.007,0.007,0,0,0.008,0.008,0,0,0.001,0.001,0,0,118.859,118.859,0,0,0.002,0.002,0,0,0,0,0,0,118.974,118.974,--,--,0.069,0.071,0.005,1043.322,0.019,0.002,1044.34,--,0,2,1399500,0,329246,0,0,0,0,0,0,1399502,329246,0,1399502,329246,0,0,0.81,0,0.19,0,0,0,0,0,0,0.81,0.19,0,0.81,0.19,0,0,852284,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,Western Area Power Administration - Desert Southwest Region,WALC,10220,31570807,17141856,151384450,77330197,16037102,8259433,1339,726,150,2206493,222891,30050,2213757,--,0.167,0.176,0.019,275.174,0.014,0.002,276.079,--,0.085,0.085,0.009,139.781,0.007060037,0.001,140.241,--,0.896,0.944,0.1,1476.808,0.075,0.01,--,0,112,0.896,0.896,0,130,0.891,0.891,0,9.667,0.1,0.1,0,5526,1476.8,1476.808,0,0.224,0.075,0.075,0,0.045,0.01,0.01,0,5545,1481.661,1481.67,--,--,0,3.31,0.085,0.085,0,3.291,0.085,0.085,0,0.286,0.009,0.009,0,163.33,139.78,139.781,0,0.007,0.007,0.007,0,0.001,0.001,0.001,0,163.892,140.241,140.241,--,--,0.833,0.824,0.092,1442.117,0.07,0.009,1446.672,--,623300,27,2364865,0,12830078,0,0,218832,0,0,0,2988192,13048910,218832,2988192,13048910,0.039,0,0.147,0,0.8,0,0,0.014,0,0,0,0.186,0.814,0.014,0.186,0.814,0,6,2673722,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,Western Area Power Administration - Rocky Mountain Region,WACM,10578,445559874,190294677,477364108,203710056,45066372,19231125,29455,12689,17543,44850583,9526458,1381865,45175561,--,1.307,1.32,0.779,1990.423,0.211,0.031,2004.846,--,0.132,0.133,0.079,201.322,0.02138087,0.003,202.781,--,1.41,1.424,0.84,2147.354,0.228,0.033,--,1.533,12.647,0.434,1.413,1.556,12.741,0.399,1.426,0.944,6.778,0.007,0.841,2294.417,2195.966,994.245,2151.516,0.255,0.089,0.017,0.228,0.037,0.018,0.002,0.033,2311.816,2203.489,995.185,2167.106,--,--,0.14,0.941,0.052,0.132,0.142,0.939,0.047,0.133,0.086,0.504,0.001,0.079,209.224,163.326,118.836,201.437,0.023,0.007,0.002,0.021,0.003,0.001,0,0.003,210.81,163.885,118.948,202.897,--,--,1.439,1.432,0.645,1980.685,0.198,0.029,1994.194,--,36807156,29697,4855175,0,1675514,21526,1454385,163599,0,0,59320,41751348,3315024,1639510,41772874,3293498,0.817,0.001,0.108,0,0.037,0,0.032,0.004,0,0,0.001,0.926,0.074,0.036,0.927,0.073,8589874,3685,2643657,0,0,10335,0,0,0,0,0,0.764,0,0.235,0,0,0.001,0,0,0,0,0
2018,Western Area Power Administration UGP West,WAUW,1122,0,0,41421406,18619571,4542817,2042066,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,,,,,,,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,--,0,0,0,0,4321328,0,221489,0,0,0,0,0,4542817,221489,0,4542817,0,0,0,0,0.951,0,0.049,0,0,0,0,0,1,0.049,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
