YEAR,REGION,ESTLOSS,TOTDISP,DIRCTUSE,GGRSLOSS
2021,Alaska,280836,6595818,255217,0.044
2021,Eastern,128520765,2974913412,89398124,0.045
2021,ERCOT,17644566,428063455,30782296,0.044
2021,Hawaii,420430,9181831,355064,0.048
2021,Western,31855859,735231780,18043402,0.044
2021,U.S.,178722456,4153986297,138834103,0.045
