YEAR,BANAME,BACODE,BANAMEPCAP,BAHTIAN,BAHTIOZ,BAHTIANT,BAHTIOZT,BANGENAN,BANGENOZ,BANOXAN,BANOXOZ,BASO2AN,BACO2AN,BACH4AN,BAN2OAN,BACO2EQA,BAHGAN,BANOXRTA,BANOXRTO,BASO2RTA,BACO2RTA,BACH4RTA,BAN2ORTA,BAC2ERTA,BAHGRTA,BANOXRA,BANOXRO,BASO2RA,BACO2RA,BACH4RA,BAN2ORA,BAC2ERA,BAHGRA,BANOXCRT,BANOXCRO,BASO2CRT,BACO2CRT,BACH4CRT,BAN2OCRT,BAC2ECRT,BAHGCRT,BACNOXRT,BAONOXRT,BAGNOXRT,BAFSNXRT,BACNXORT,BAONXORT,BAGNXORT,BAFSNORT,BACSO2RT,BAOSO2RT,BAGSO2RT,BAFSS2RT,BACCO2RT,BAOCO2RT,BAGCO2RT,BAFSC2RT,BACCH4RT,BAOCH4RT,BAGCH4RT,BAFCH4RT,BACN2ORT,BAON2ORT,BAGN2ORT,BAFN2ORT,BACC2ERT,BAOC2ERT,BAGC2ERT,BAFSC2ERT,BACHGRT,BAFSHGRT,BACNOXR,BAONOXR,BAGNOXR,BAFSNXR,BACNXOR,BAONXOR,BAGNXOR,BAFSNOR,BACSO2R,BAOSO2R,BAGSO2R,BAFSS2R,BACCO2R,BAOCO2R,BAGCO2R,BAFSC2R,BACCH4R,BAOCH4R,BAGCH4R,BAFCH4R,BACN2OR,BAON2OR,BAGN2OR,BAFN2OR,BACC2ER,BAOC2ER,BAGC2ER,BAFSC2ER,BACHGR,BAFSHGR,BANBNOX,BANBNXO,BANBSO2,BANBCO2,BANBCH4,BANBN2O,BANBC2E,BANBHG,BAGENACL,BAGENAOL,BAGENAGS,BAGENANC,BAGENAHY,BAGENABM,BAGENAWI,BAGENASO,BAGENAGT,BAGENAOF,BAGENAOP,BAGENATN,BAGENATR,BAGENATH,BAGENACY,BAGENACN,BACLPR,BAOLPR,BAGSPR,BANCPR,BAHYPR,BABMPR,BAWIPR,BASOPR,BAGTPR,BAOFPR,BAOPPR,BATNPR,BATRPR,BATHPR,BACYPR,BACNPR,BANBGNCL,BANBGNOL,BANBGNGS,BANBGNNC,BANBGNHY,BANBGNBM,BANBGNWI,BANBGNSO,BANBGNGT,BANBGNOF,BANBGNOP,BANBCLPR,BANBOLPR,BANBGSPR,BANBNCPR,BANBHYPR,BANBBMPR,BANBWIPR,BANBSOPR,BANBGTPR,BANBOFPR,BANBOPPR
2021,NaturEner Wind Watch LLC,WWA,189,0,0,5703292,1912271,644950,216247,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,,,,,,,,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,644950,0,0,0,0,0,644950,644950,0,644950,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nevada Power Company,NEVP,11715,218975950,107440703,289252116,141036750,36107673,17621881,10292,5740,2671,14403719,1163015,149726,14440565,--,0.57,0.651,0.148,797.82,0.032,0.004,799.861,--,0.094,0.107,0.024,131.555,0.005,0.001,131.892,--,0.736,0.841,0.191,1029.997,0.042,0.005,1032.632,--,1.975,0,0.6,0.735,2.114,0,0.676,0.832,1.869,0,0.006,0.19,2389.446,0,878.697,1027.698,0.266,0,0.017,0.0416,0.0387,0,0.0017,0.0053,2407.637,0,879.627,1030.331,--,--,0.173,0,0.081,0.094,0.186,0,0.092,0.107,0.164,0,0.001,0.024,209.649,0,118.665,131.779,0.0233,0,0.0023,0.0053,0.0034,0,0.0002,0.0007,211.245,0,118.791,132.117,--,--,0.81,0.913,0.261,1040.197,0.046,0.006,1043.109,--,2752473,8014,25130654,0,44754,49964,339944,4327194,3427318,0,27358,27918499,8189174,8144420,27968463,8139210,0.076,0,0.696,0,0.001,0.001,0.009,0.12,0.095,0,0.001,0.773,0.227,0.226,0.775,0.225,1737783,0,13922016,0,0,25841,0,0,0,0,0,0.111,0,0.888,0,0,0.002,0,0,0,0,0
2021,New Brunswick System Operator,NBSO,134,2667093,1100723,4231291,1605310,554826,220303,136,52,346,22036,26000,7817,23526,--,0.49,0.471,1.248,79.434,0.047,0.014,84.804,--,0.102,0.094,0.26,16.524,0.01,0.003,17.642,--,0.72,0.691,1.832,116.611,0.069,0.021,124.494,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.8,0.743,2.035,129.509,0.076,0.023,138.264,--,0,0,59037,0,60982,221114,115903,0,0,0,97790,156827,397999,337017,377941,176885,0,0,0.106,0,0.11,0.399,0.209,0,0,0,0.176,0.283,0.717,0.607,0.681,0.319,0,0,0,0,0,131145,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,New Harquahala Generating Company LLC - HGBA,HGMA,1277,15869169,15004593,15869169,15004593,2238544,2120785,74,70,5,943078,35274,3527,944044,--,0.066,0.066,0.004,842.582,0.016,0.002,843.445,--,0.009,0.009,0.001,118.857,0.002,0,118.978,--,0.066,0.066,0.004,842.582,0.016,0.002,843.445,--,0,0,0.066,0.066,0,0,0.066,0.066,0,0,0.004,0.004,0,0,842.582,842.582,0,0,0.016,0.0158,0,0,0.0016,0.0016,0,0,843.445,843.445,--,--,0,0,0.009,0.009,0,0,0.009,0.009,0,0,0.001,0.001,0,0,118.857,118.857,0,0,0.0022,0.0022,0,0,0.0002,0.0002,0,0,118.978,118.978,--,--,0.066,0.066,0.004,842.582,0.016,0.002,843.445,--,0,0,2238544,0,0,0,0,0,0,0,0,2238544,0,0,2238544,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2238189,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,New York Independent System Operator,NYIS,45521,526048717,259548079,829997929,382315200,129942346,57188679,13408,6668,2378,30465219,3435541,425147,30571510,--,0.206,0.233,0.037,468.904,0.026,0.003,470.54,--,0.051,0.051,0.009,115.827,0.007,0.001,116.231,--,0.411,0.465,0.073,934.372,0.053,0.007,937.632,--,0,3.106,0.28,0.304,0,3.427,0.296,0.324,0,0.752,0.048,0.054,0,1242.812,921.233,923.935,0,0.048,0.018,0.0179,0,0.0108,0.0019,0.0019,0,1247.238,922.231,924.962,--,--,0,0.316,0.036,0.039,0,0.279,0.037,0.041,0,0.077,0.006,0.007,0,126.521,119.189,119.267,0,0.0049,0.0023,0.0023,0,0.0011,0.0002,0.0003,0,126.971,119.318,119.4,--,--,0.48,0.495,0.096,996.844,0.034,0.004,998.871,--,0,700604,61643449,31176583,28374339,1903311,4156369,1025030,0,975693,-13033,94483296,35459049,7084710,65210024,64732321,0,0.005,0.474,0.24,0.218,0.015,0.032,0.008,0,0.008,0,0.727,0.273,0.055,0.502,0.498,0,412945,31407114,0,0,530526,0,0,0,0,0,0,0.013,0.971,0,0,0.016,0,0,0,0,0
2021,No balancing authority,NA,9363,231295197,100277477,256085585,110892971,25771070,11240397,57337,23942,35951,18230062,2373856,365042,18314127,--,4.45,4.26,2.79,1414.77,0.092,0.014,1421.293,--,0.496,0.478,0.311,157.635,0.01,0.002,158.361,--,4.993,4.78,3.131,1587.454,0.103,0.016,1594.774,--,2.391,6.461,4.199,4.991,2.369,6,4.152,4.767,2.383,5.337,0.301,3.134,2228.042,1661.826,1144.534,1587.975,0.26,0.098,0.022,0.1013,0.0379,0.0167,0.0024,0.0156,2245.83,1669.258,1145.816,1595.164,--,--,0.222,0.634,0.443,0.496,0.22,0.593,0.436,0.477,0.222,0.524,0.032,0.312,207.22,163.042,120.662,157.944,0.0242,0.0097,0.0023,0.0101,0.0035,0.0016,0.0003,0.0016,208.874,163.771,120.797,158.659,--,--,5.881,5.54,3.989,1604.68,0.085,0.014,1610.977,--,4010162,9648378,9222406,0,1626867,95914,545429,447704,183391,0,-9181,22871766,2899305,1272438,22967679,2803391,0.156,0.374,0.358,0,0.063,0.004,0.021,0.017,0.007,0,0,0.887,0.113,0.049,0.891,0.109,797939,9209379,3733022,0,0,21176,0,0,0,0,0,0.058,0.669,0.271,0,0,0.002,0,0,0,0,0
2021,NorthWestern Energy (NWMT),NWMT,3311,125236710,50069944,166589390,67141930,16343287,6484410,10394,4188,13364,12873321,2890583,421302,12972228,--,1.272,1.292,1.635,1575.365,0.177,0.026,1587.469,--,0.166,0.167,0.213,205.584,0.023,0.003,207.163,--,1.782,1.809,2.291,2206.798,0.248,0.036,2223.753,--,1.578,1.439,7.746,1.78,1.557,1.379,8.465,1.837,1.764,16.713,0.092,2.291,2253.523,1824.533,1321.209,2205.532,0.264,0.053,0.026,0.2478,0.0384,0.0105,0.0027,0.0361,2271.565,1828.964,1322.674,2222.487,--,--,0.146,0.178,0.697,0.166,0.14,0.172,0.763,0.167,0.163,2.067,0.008,0.214,208.288,225.648,118.895,205.692,0.0244,0.0065,0.0024,0.0231,0.0035,0.0013,0.0002,0.0034,209.956,226.196,119.027,207.274,--,--,2.415,2.696,1.007,2159.133,0.227,0.033,2174.604,--,10812569,451195,390187,0,3132421,0,1510461,33436,0,13018,0,11666969,4676318,1543897,11666969,4676318,0.662,0.028,0.024,0,0.192,0,0.092,0.002,0,0.001,0,0.714,0.286,0.094,0.714,0.286,2039832,28995,381091,0,0,0,0,0,0,0,0,0.833,0.012,0.156,0,0,0,0,0,0,0,0
2021,PacifiCorp - East,PACE,16698,501410282,232005779,624363421,276753652,63188587,27807811,41805,18891,29393,47822902,9758468,1410203,48155003,--,1.323,1.359,0.93,1513.656,0.154,0.022,1524.168,--,0.167,0.163,0.117,190.754,0.019,0.003,192.078,--,1.691,1.736,1.189,1934.33,0.197,0.029,1947.763,--,2.092,25.702,0.416,1.699,2.053,25.652,0.405,1.663,1.559,2.201,0.007,1.193,2270.496,1239.204,895.351,1946.562,0.255,0.05,0.017,0.1988,0.0371,0.01,0.0017,0.0287,2287.908,1243.449,896.271,1960.09,--,--,0.19,3.388,0.055,0.167,0.187,3.388,0.052,0.163,0.142,0.29,0.001,0.117,206.604,163.326,118.618,191.244,0.0232,0.0066,0.0022,0.0195,0.0034,0.0013,0.0002,0.0028,208.188,163.885,118.739,192.573,--,--,1.571,1.528,1.182,1915.974,0.19,0.027,1928.876,--,37021203,40682,11692548,0,610360,80752,9056225,3655856,419662,365441,245858,49365732,13822855,13212495,49446484,13742103,0.586,0.001,0.185,0,0.01,0.001,0.143,0.058,0.007,0.006,0.004,0.781,0.219,0.209,0.783,0.217,14280766,1546,5536528,0,0,4247,0,0,0,14156,0,0.72,0,0.279,0,0,0,0,0,0,0.001,0
2021,PacifiCorp - West,PACW,2807,27116836,12131364,73348638,32067877,8593630,3788337,1029,392,82,1266022,412124,52636,1279016,--,0.24,0.207,0.019,294.642,0.048,0.006,297.666,--,0.076,0.065,0.006,93.375,0.015,0.002,94.334,--,0.612,0.528,0.049,752.339,0.122,0.016,760.061,--,0,0,0.293,0.293,0,0,0.269,0.269,0,0,0.005,0.005,0,0,884.724,884.724,0,0,0.016,0.0163,0,0,0.0016,0.0016,0,0,885.616,885.616,--,--,0,0,0.039,0.039,0,0,0.036,0.036,0,0,0.001,0.001,0,0,118.841,118.841,0,0,0.0022,0.0022,0,0,0.0002,0.0002,0,0,118.961,118.961,--,--,0.504,0.419,0.049,727.062,0.133,0.017,735.486,--,0,0,2862150,0,2992786,503413,1376058,859223,0,0,0,2862150,5731480,2738694,3365563,5228067,0,0,0.333,0,0.348,0.059,0.16,0.1,0,0,0,0.333,0.667,0.319,0.392,0.608,0,0,1323182,0,0,295647,0,0,0,0,0,0,0,0.817,0,0,0.183,0,0,0,0,0
2021,PJM Interconnection LLC,PJM,223504,4347083705,2028628122,4770376565,2184272028,826024686,365333867,152721,64845,202444,335925163,56755841,7967694,337782943,--,0.37,0.355,0.49,813.354,0.069,0.01,817.852,--,0.07,0.064,0.093,154.552,0.013,0.002,155.407,--,0.601,0.577,0.796,1320.996,0.112,0.016,1328.302,--,1.236,2.965,0.179,0.569,1.051,2.565,0.186,0.524,2.145,2.429,0.016,0.787,2139.476,2150.315,877.121,1333.989,0.249,0.058,0.017,0.1002,0.0363,0.0102,0.0018,0.0141,2156.507,2154.783,878.068,1340.695,--,--,0.119,0.228,0.024,0.067,0.1,0.2,0.025,0.061,0.206,0.187,0.002,0.093,205.196,165.117,119.498,157.563,0.0239,0.0044,0.0023,0.0118,0.0035,0.0008,0.0002,0.0017,206.83,165.46,119.627,158.355,--,--,0.841,0.782,0.988,1537.506,0.139,0.02,1546.643,--,175100114,1975091,319030679,271692507,8440569,8196023,27502048,9795916,0,4329492,-37752,772090130,53934556,45493987,508593646,317431040,0.212,0.002,0.386,0.329,0.01,0.01,0.033,0.012,0,0.005,0,0.935,0.065,0.055,0.616,0.384,93095455,1372623,101109465,0,0,3589932,0,0,0,136081,0,0.467,0.007,0.507,0,0,0.018,0,0,0,0.001,0
