SEQPLT,YEAR,PSTATABB,PNAME,ORISPL,LAT,LON,PLPRMFL,PLFUELCT,NAMEPCAP,COALFLAG,TOTALPOP,RAW_D_INDEX,RAW_D_LING,RAW_D_INCOME,RAW_D_MINOR,RAW_D_OVER64,RAW_D_UNDER5,RAW_D_LESSHS,N_D_INDEX_PER,N_D_LING_PER,N_D_INCOME_PER,N_D_MINOR_PER,N_D_OVER64_PER,N_D_UNDER5_PER,N_D_LESSHS_PER,S_D_INDEX_PER,S_D_LING_PER,S_D_INCOME_PER,S_D_MINOR_PER,S_D_OVER64_PER,S_D_UNDER5_PER,S_D_LESSHS_PER,N_D_INDEX,N_D_LING,N_D_INCOME,N_D_MINOR,N_D_OVER64,N_D_UNDER5,N_D_LESSHS,S_D_INDEX,S_D_LING,S_D_INCOME,S_D_MINOR,S_D_OVER64,S_D_UNDER5,S_D_LESSHS,DISTANCE
1,2021,AK,Agrium Kenai Nitrogen Operations,54452,60.6732,-151.3784,NG,GAS,12.5,,1839,0.22,0,0.26,0.17,0.17,0.05,0.06,36,0,47,36,56,48,40,27,0,56,16,74,37,52,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
2,2021,AK,Alakanuk,57053,62.6833,-164.6544,JF,OIL,0.8,,1073,0.86,0.01,0.72,1,0.07,0.15,0.23,97,59,94,97,15,96,84,99,64,98,99,20,96,96,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
3,2021,AK,Allison Creek Hydro,58982,61.084444,-146.353333,WAT,HYDRO,6.5,,31,0.27,0,0.13,0.4,0.41,0,0.05,46,0,24,59,96,0,37,45,0,24,55,99,0,46,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
4,2021,AK,Ambler,60243,67.08798,-157.856719,DFO,OIL,1.1,,231,0.8,0.07,0.68,0.92,0.11,0.11,0.21,95,79,93,90,32,87,82,97,87,97,95,44,83,94,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
5,2021,AK,Angoon,7462,57.499166,-134.58614,DFO,OIL,1.5,,245,0.51,0.01,0.35,0.67,0.18,0.04,0.06,75,58,62,77,61,44,40,83,63,77,82,80,33,53,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
6,2021,AK,Aniak,7182,61.580678,-159.535643,DFO,OIL,2.2,,489,0.72,0.01,0.55,0.88,0.08,0.11,0.19,91,57,84,88,20,90,78,94,59,94,93,26,87,92,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
7,2021,AK,Annex Creek,62,58.3176,-134.101,WAT,HYDRO,4,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
8,2021,AK,Auke Bay,7250,58.3875,-134.6446,DFO,OIL,36.2,,13118,0.21,0.03,0.1,0.32,0.13,0.06,0.05,34,68,16,52,39,57,33,25,77,16,43,54,48,40,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
9,2021,AK,Aurora Energy LLC Chena,79,64.847743,-147.735063,SUB,COAL,27.5,Yes,33387,0.35,0.05,0.28,0.4,0.11,0.08,0.07,58,74,51,59,32,75,43,62,82,63,55,45,70,59,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
10,2021,AK,Barrow,7173,71.292,-156.7786,NG,GAS,20.3,,4296,0.59,0.08,0.26,0.92,0.08,0.08,0.14,82,81,48,90,20,77,67,90,90,57,95,27,73,86,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
11,2021,AK,Battery Energy Storage System,57583,64.8167,-147.725,MWH,OTHF,40,,26372,0.34,0.04,0.28,0.4,0.11,0.09,0.07,58,72,51,59,33,79,43,61,81,63,55,48,74,59,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
12,2021,AK,Beaver Falls,6580,55.37975,-131.470269,WAT,HYDRO,5.4,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
13,2021,AK,Beluga,96,61.1861,-151.0356,NG,GAS,312.4,,35,0.66,0.02,0.49,0.82,0.02,0.04,0.02,87,61,79,84,4,36,15,93,67,91,91,4,24,18,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
14,2021,AK,Bernice Lake,6292,60.6935,-151.3874,NG,GAS,76.7,,1726,0.27,0,0.32,0.21,0.17,0.06,0.06,45,0,57,40,57,62,40,45,0,70,23,75,53,53,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
15,2021,AK,Bethel,6566,60.7897,-161.787778,DFO,OIL,12.6,,6064,0.54,0.04,0.3,0.78,0.07,0.07,0.07,78,71,53,82,14,69,42,85,80,65,89,18,63,56,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
16,2021,AK,Black Bear Lake,7752,55.476472,-133.14772,WAT,HYDRO,4.5,,1228,0.32,0,0.27,0.37,0.16,0.07,0.08,54,0,49,57,54,70,47,56,0,60,51,72,64,62,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
17,2021,AK,Blue Lake Hydro,93,57.0516,-135.2297,WAT,HYDRO,15.9,,1864,0.24,0.02,0.12,0.36,0.11,0.04,0.06,41,63,21,56,31,39,39,35,71,21,49,44,27,52,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
18,2021,AK,Bradley Lake,7367,59.77862,-150.94015,WAT,HYDRO,126,,3,0.41,0.01,0.24,0.57,0.2,0.03,0.07,65,57,44,71,69,29,43,73,60,52,76,85,19,57,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
19,2021,AK,Brevig Mission,60260,65.331716,-166.479506,DFO,OIL,1,,411,0.8,0.01,0.65,0.95,0.08,0.1,0.2,95,58,91,92,19,86,80,96,64,96,97,25,82,93,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
20,2021,AK,Centennial,7112,55.121433,-131.560267,DFO,OIL,3.3,,1554,0.65,0,0.4,0.91,0.13,0.04,0.08,86,0,69,89,39,38,50,93,0,83,94,55,27,66,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
21,2021,AK,Chester Lake,7168,55.116879,-131.545879,WAT,HYDRO,1.3,,1554,0.65,0,0.4,0.91,0.13,0.04,0.08,86,0,69,89,39,38,50,93,0,83,94,55,27,66,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
22,2021,AK,Chevak,6311,61.525297,-165.590152,DFO,OIL,1.8,,683,0.83,0.02,0.74,0.92,0.06,0.14,0.17,96,62,95,90,11,94,74,98,71,98,96,13,94,90,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
23,2021,AK,Cooper Lake,6291,60.392331,-149.665603,WAT,HYDRO,19.4,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
24,2021,AK,Craig (AK),421,55.47691,-133.14869,DFO,OIL,4.6,,1228,0.32,0,0.27,0.37,0.16,0.07,0.08,54,0,49,57,54,70,47,56,0,60,51,72,64,62,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
25,2021,AK,Delta Power,56325,64.028056,-145.719444,DFO,OIL,23.1,,779,0.22,0.04,0.29,0.16,0.13,0.06,0.06,37,70,52,33,39,63,40,30,80,64,13,56,53,53,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
26,2021,AK,Delta Wind Farm,58511,64.013889,-145.596667,WND,WIND,1.9,,490,0.18,0.07,0.19,0.17,0.13,0.08,0.07,27,79,34,35,40,73,46,17,87,40,15,56,68,62,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
27,2021,AK,Dillingham,109,59.042914,-158.468597,DFO,OIL,11,,1185,0.52,0.03,0.26,0.78,0.1,0.09,0.1,76,66,47,82,25,80,56,84,75,57,89,34,75,74,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
28,2021,AK,Dutch Harbor,7502,53.892459,-166.538185,DFO,OIL,21.9,,2912,0.5,0.07,0.21,0.8,0.08,0.04,0.1,75,80,38,83,18,37,56,83,89,46,90,23,25,74,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
29,2021,AK,Eielson AFB Central Heat & Power Plant,50392,64.67141,-147.075988,SUB,COAL,31,Yes,3567,0.2,0.02,0.18,0.22,0.01,0.11,0.06,32,62,32,42,0,89,41,22,68,37,25,1,86,55,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
30,2021,AK,Eklutna Generation Station,58989,61.457778,-149.351389,NG,GAS,171,,279,0.13,0,0.11,0.15,0.14,0.04,0.03,16,0,19,32,43,39,21,7,58,18,11,60,27,25,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
31,2021,AK,Eklutna Hydro Project,77,61.475211,-149.15009,WAT,HYDRO,44.4,,215,0.22,0,0.24,0.2,0.09,0.05,0.15,37,0,45,39,24,54,71,30,0,54,23,32,44,88,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
32,2021,AK,Elim,57060,64.616558,-162.263717,DFO,OIL,1.1,,352,0.8,0.01,0.65,0.95,0.08,0.1,0.2,95,58,91,92,19,86,80,96,64,96,97,25,82,93,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
33,2021,AK,Emmonak,6314,62.777694,-164.531517,DFO,OIL,3.2,,1171,0.86,0.01,0.72,1,0.07,0.15,0.23,97,59,94,97,15,96,84,99,64,98,99,20,96,96,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
34,2021,AK,ESS Battery Microgrid,58405,57.799167,-152.404167,MWH,OTHF,3,,9903,0.39,0.09,0.19,0.58,0.12,0.06,0.11,63,83,35,71,33,58,58,69,91,42,76,48,49,76,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
35,2021,AK,Eva Creek Wind,57935,64.058333,-148.9,WND,WIND,24.6,,3,0.26,0,0.32,0.19,0.1,0.01,0.02,44,0,58,38,27,15,18,42,0,70,20,38,9,21,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
36,2021,AK,Eyak Service Center BESS,62714,60.54047,-145.74079,MWH,OTHF,1,,1636,0.25,0,0.1,0.39,0.13,0.04,0.06,42,0,18,59,41,40,41,38,0,16,53,58,28,55,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
37,2021,AK,Fairbanks,6286,64.854171,-147.719351,DFO,OIL,42.2,,31439,0.34,0.05,0.28,0.39,0.12,0.08,0.07,57,74,51,59,34,75,44,60,83,63,54,49,70,59,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
38,2021,AK,False Island,56146,55.48918,-133.1345,DFO,OIL,1.3,,1228,0.32,0,0.27,0.37,0.16,0.07,0.08,54,0,49,57,54,70,47,56,0,60,51,72,64,62,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
39,2021,AK,Fire Island Wind,58425,61.13,-150.243611,WND,WIND,18,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
40,2021,AK,Flywheel Energy Storage System Microgrid,60563,57.780114,-152.443783,MWH,OTHF,2,,6307,0.41,0.12,0.21,0.61,0.13,0.07,0.11,66,87,39,74,40,68,58,73,95,47,78,57,61,76,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
41,2021,AK,Fort Greely Power Plant,54834,63.973572,-145.716581,DFO,OIL,7.4,,102,0.36,0,0,0.71,0,0,0,59,0,0,79,0,0,0,63,0,0,85,0,0,0,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
42,2021,AK,Galena Electric Utility,7437,64.74417,-156.8736,DFO,OIL,3.9,,494,0.47,0.02,0.26,0.68,0.11,0.09,0.08,72,61,48,77,32,80,49,79,68,57,82,45,75,64,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
43,2021,AK,Gambell,57062,63.777058,-171.712439,DFO,OIL,1.6,,615,0.8,0.01,0.65,0.95,0.08,0.1,0.2,95,58,91,92,19,86,80,96,64,96,97,25,82,93,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
44,2021,AK,George M Sullivan Generation Plant 2,6559,61.229713,-149.716744,NG,GAS,346.9,,52357,0.46,0.03,0.33,0.58,0.09,0.1,0.09,70,67,59,72,23,84,54,78,75,73,76,31,80,72,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
45,2021,AK,Glennallen,6305,62.110415,-145.532529,DFO,OIL,9.2,,478,0.4,0.01,0.34,0.46,0.12,0.07,0.04,64,57,60,63,36,70,30,71,59,74,62,51,65,35,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
46,2021,AK,Goat Lake Hydro,7751,59.5357,-135.2123,WAT,HYDRO,4,,20,0.19,0,0.15,0.23,0.13,0.05,0.12,31,0,27,43,39,51,61,20,0,30,27,56,41,79,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
47,2021,AK,Gold Creek,63,58.3107,-134.4174,WAT,HYDRO,9.7,,8670,0.28,0.03,0.23,0.33,0.17,0.04,0.04,48,70,42,53,57,45,26,48,79,51,45,75,35,31,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
48,2021,AK,Green Lake,313,56.986284,-135.12275,WAT,HYDRO,18.6,,6,0.03,0,0,0.06,0.18,0,0,0,0,0,16,59,0,0,0,0,0,1,77,0,0,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
49,2021,AK,Gustavus,65767,58.419497,-135.70737,DFO,OIL,1.4,,461,0.2,0,0.21,0.19,0.27,0,0.07,32,0,38,38,85,0,42,22,58,46,21,95,7,57,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
50,2021,AK,Gwitchyaa Zhee,7174,66.566287,-145.253052,DFO,OIL,2.8,,403,0.65,0.07,0.48,0.82,0.17,0.06,0.14,86,80,77,85,57,56,67,93,89,90,91,75,46,85,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
51,2021,AK,Haines,69,59.235931,-135.446228,DFO,OIL,9.6,,1905,0.24,0,0.19,0.29,0.15,0.07,0.03,41,0,35,50,50,70,22,37,59,42,39,70,64,26,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
52,2021,AK,Hank Nikkels Plant 1,75,61.2221,-149.8661,NG,GAS,77.9,,63526,0.45,0.06,0.34,0.56,0.12,0.08,0.09,70,78,61,70,35,72,54,77,86,74,75,49,66,71,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
53,2021,AK,Healy Power Plant,6288,63.8542,-148.95,LIG,COAL,92.8,Yes,852,0.26,0,0.32,0.19,0.1,0.01,0.02,44,0,58,38,27,15,18,42,0,70,20,38,9,21,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
54,2021,AK,Hiilangaay Hydro,59037,55.216389,-132.603611,WAT,HYDRO,5,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
55,2021,AK,Hoonah,7463,58.106432,-135.43074,DFO,OIL,2,,803,0.54,0.02,0.35,0.72,0.22,0.04,0.05,77,62,61,79,74,42,36,85,70,76,85,88,31,46,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
56,2021,AK,Hooper Bay,6319,61.530858,-166.101944,DFO,OIL,2.2,,987,0.83,0.02,0.74,0.92,0.06,0.14,0.17,96,62,95,90,11,94,74,98,71,98,96,13,94,90,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
57,2021,AK,Humpback Creek,7042,60.612822,-145.679411,WAT,HYDRO,1.2,,396,0.21,0,0.14,0.28,0.17,0.08,0.01,34,0,25,48,57,75,12,25,0,25,37,76,70,14,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
58,2021,AK,Hydaburg,423,55.204937,-132.821435,DFO,OIL,1,,521,0.54,0,0.42,0.65,0.23,0.07,0.05,77,0,71,76,77,64,32,85,0,84,80,90,56,40,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
59,2021,AK,Industrial Plant,59793,58.367635,-134.60802,DFO,OIL,41.7,,15580,0.23,0.03,0.11,0.35,0.13,0.06,0.04,39,69,19,55,38,62,31,31,79,17,48,54,53,37,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
60,2021,AK,International,6293,61.168972,-149.911038,NG,GAS,15,,94280,0.34,0.05,0.22,0.47,0.11,0.06,0.07,57,74,40,64,32,57,42,61,83,48,64,46,48,56,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
61,2021,AK,Jarvis Street,6801,57.0497,-135.3128,DFO,OIL,25.6,,7152,0.3,0.02,0.19,0.41,0.15,0.05,0.05,52,62,35,60,50,52,36,52,69,42,57,70,42,45,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
62,2021,AK,JBER Landfill Gas Power Plant,58380,61.286,-149.61,LFG,BIOMASS,11.5,,8198,0.19,0,0.15,0.23,0.08,0.08,0.03,30,0,26,43,21,77,23,19,58,28,28,27,73,27,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
63,2021,AK,Kake,7464,56.962983,-133.922557,DFO,OIL,3.1,,545,0.43,0,0.42,0.43,0.19,0.08,0.12,67,0,71,62,63,77,61,75,0,84,59,83,73,79,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
64,2021,AK,Kasidaya Creek Hydro,56542,59.4072,-135.3408,WAT,HYDRO,3,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
65,2021,AK,Kasigluk,57066,60.8731,-162.5197,DFO,OIL,2,,1147,0.92,0.09,0.84,1,0.07,0.13,0.29,99,83,98,97,15,93,90,99,92,99,99,20,92,98,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
66,2021,AK,Ketchikan,84,55.344641,-131.633425,WAT,HYDRO,4.2,,9056,0.36,0.04,0.28,0.44,0.14,0.05,0.07,60,73,51,63,42,53,46,63,82,63,61,60,43,61,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
67,2021,AK,Kiana,6323,66.973889,-160.428592,DFO,OIL,1.2,,357,0.72,0.02,0.5,0.93,0.08,0.13,0.21,91,62,80,91,17,92,82,94,69,91,97,23,90,94,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
68,2021,AK,King Cove,7493,55.061683,-162.3103,WAT,HYDRO,2.6,,1175,0.61,0.07,0.31,0.91,0.11,0.04,0.16,83,79,56,89,33,40,73,91,88,68,95,47,28,89,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
69,2021,AK,Kivalina,57065,67.726644,-164.538447,DFO,OIL,1.1,,479,0.73,0.03,0.54,0.92,0.1,0.1,0.19,91,68,83,90,25,83,79,95,78,93,96,34,78,93,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
70,2021,AK,Klawock Power Generation Station,61684,55.553197,-133.08535,DFO,OIL,2.5,,921,0.44,0,0.35,0.53,0.15,0.05,0.1,69,0,61,69,50,47,56,77,0,75,70,69,36,74,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
71,2021,AK,Kodiak Microgrid,6281,57.789956,-152.396982,DFO,OIL,18.3,,9763,0.39,0.09,0.2,0.58,0.12,0.06,0.11,63,83,36,72,34,58,59,69,91,43,76,48,49,77,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
72,2021,AK,Kotlik,57064,63.03215,-163.553106,DFO,OIL,1.4,,930,0.86,0.01,0.72,1,0.07,0.15,0.23,97,59,94,97,15,96,84,99,64,98,99,20,96,96,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
73,2021,AK,Kotzebue Hybrid,6304,66.837778,-162.556944,DFO,OIL,17.1,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
74,2021,AK,Koyuk,57059,64.932089,-161.167103,DFO,OIL,1.1,,300,0.8,0.01,0.65,0.95,0.08,0.1,0.2,95,58,91,92,19,86,80,96,64,96,97,25,82,93,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
75,2021,AK,Lake Dorothy Hydroelectric Project,57085,58.2325,-134.0533,WAT,HYDRO,14.3,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
76,2021,AK,Lemon Creek,64,58.3536,-134.4953,DFO,OIL,61.7,,6140,0.4,0.05,0.24,0.56,0.1,0.07,0.04,65,76,44,70,27,69,27,72,84,53,75,37,62,32,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
77,2021,AK,Marshall,60244,61.878186,-162.085147,DFO,OIL,1.1,,193,0.95,0,0.9,1,0.06,0.12,0.3,99,0,99,97,11,91,91,99,0,99,99,13,88,99,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
78,2021,AK,McGrath,6555,62.95699,-155.594997,DFO,OIL,3.8,,196,0.7,0,0.52,0.87,0.14,0.08,0.13,89,0,81,87,42,76,67,94,0,92,93,59,72,85,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
79,2021,AK,Mountain Village,6329,62.085569,-163.729072,DFO,OIL,2.3,,718,0.78,0.03,0.6,0.96,0.05,0.09,0.22,94,67,88,93,8,81,84,96,75,95,98,8,76,95,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
80,2021,AK,Naknek,6301,58.730417,-157.007222,DFO,OIL,16.5,,151,0.34,0,0.15,0.52,0.12,0.07,0.06,56,0,27,68,34,66,41,59,0,29,69,49,58,54,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
81,2021,AK,New Stuyahok,60245,59.448358,-157.325528,DFO,OIL,1.4,,253,0.78,0.06,0.66,0.91,0.13,0.1,0.16,94,77,91,89,38,86,74,96,85,96,94,54,82,89,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
82,2021,AK,Newhalen,7183,59.899054,-154.698735,WAT,HYDRO,1.7,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
83,2021,AK,Nikiski Combined Cycle,55966,60.676539,-151.377713,NG,GAS,80.8,,1863,0.22,0,0.26,0.18,0.17,0.05,0.06,36,0,48,36,56,49,39,28,0,57,16,74,38,52,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
