YEAR,BANAME,BACODE,BANAMEPCAP,BAHTIAN,BAHTIOZ,BAHTIANT,BAHTIOZT,BANGENAN,BANGENOZ,BANOXAN,BANOXOZ,BASO2AN,BACO2AN,BACH4AN,BAN2OAN,BACO2EQA,BAHGAN,BANOXRTA,BANOXRTO,BASO2RTA,BACO2RTA,BACH4RTA,BAN2ORTA,BAC2ERTA,BAHGRTA,BANOXRA,BANOXRO,BASO2RA,BACO2RA,BACH4RA,BAN2ORA,BAC2ERA,BAHGRA,BANOXCRT,BANOXCRO,BASO2CRT,BACO2CRT,BACH4CRT,BAN2OCRT,BAC2ECRT,BAHGCRT,BACNOXRT,BAONOXRT,BAGNOXRT,BAFSNXRT,BACNXORT,BAONXORT,BAGNXORT,BAFSNORT,BACSO2RT,BAOSO2RT,BAGSO2RT,BAFSS2RT,BACCO2RT,BAOCO2RT,BAGCO2RT,BAFSC2RT,BACCH4RT,BAOCH4RT,BAGCH4RT,BAFCH4RT,BACN2ORT,BAON2ORT,BAGN2ORT,BAFN2ORT,BACC2ERT,BAOC2ERT,BAGC2ERT,BAFSC2ERT,BACHGRT,BAFSHGRT,BACNOXR,BAONOXR,BAGNOXR,BAFSNXR,BACNXOR,BAONXOR,BAGNXOR,BAFSNOR,BACSO2R,BAOSO2R,BAGSO2R,BAFSS2R,BACCO2R,BAOCO2R,BAGCO2R,BAFSC2R,BACCH4R,BAOCH4R,BAGCH4R,BAFCH4R,BACN2OR,BAON2OR,BAGN2OR,BAFN2OR,BACC2ER,BAOC2ER,BAGC2ER,BAFSC2ER,BACHGR,BAFSHGR,BANBNOX,BANBNXO,BANBSO2,BANBCO2,BANBCH4,BANBN2O,BANBC2E,BANBHG,BAGENACL,BAGENAOL,BAGENAGS,BAGENANC,BAGENAHY,BAGENABM,BAGENAWI,BAGENASO,BAGENAGT,BAGENAOF,BAGENAOP,BAGENATN,BAGENATR,BAGENATH,BAGENACY,BAGENACN,BACLPR,BAOLPR,BAGSPR,BANCPR,BAHYPR,BABMPR,BAWIPR,BASOPR,BAGTPR,BAOFPR,BAOPPR,BATNPR,BATRPR,BATHPR,BACYPR,BACNPR,BANBGNCL,BANBGNOL,BANBGNGS,BANBGNNC,BANBGNHY,BANBGNBM,BANBGNWI,BANBGNSO,BANBGNGT,BANBGNOF,BANBGNOP,BANBCLPR,BANBOLPR,BANBGSPR,BANBNCPR,BANBHYPR,BANBBMPR,BANBWIPR,BANBSOPR,BANBGTPR,BANBOFPR,BANBOPPR
2019,Alaska Miscellaneous,NA,2320,27681025,10666770,40866323,16388507,4252137,1713768,18165,7095,2141,2180326,452739,64107,2195537,--,8.544,8.28,1.007,1025.52,0.106,0.015,1032.675,--,1.312,1.33,0.155,157.532,0.016,0.002,158.631,--,13.108,12.704,1.545,1573.405,0.163,0.023,1584.382,--,2.388,7.886,4.075,5.413,2.385,8.259,3.943,5.66,2.302,6.455,0.053,3.253,2181.4,1655.368,1190.867,1577.886,0.255,0.113,0.0218,0.105,0.0371,0.0192,0.0022,0.0161,2198.832,1663.913,1192.064,1585.312,--,--,0.226,0.78,0.415,0.537,0.227,0.802,0.401,0.556,0.218,0.639,0.005,0.323,206.843,163.744,121.229,156.492,0.0242,0.0112,0.0022,0.0104,0.0035,0.0019,0.0002,0.0016,208.496,164.589,121.351,157.229,--,--,6.563,6.969,4.509,1581.188,0.078,0.013,1587.016,--,683055,898538,1193120,0,1386293,663,94370,0,0,0,-3902,2770811,1481326,95033,2771473,1480663,0.16,0.211,0.28,0,0.326,0,0.022,0,0,0,0,0.652,0.348,0.022,0.652,0.348,451461,8282863,3980812,0,0,19634,0,0,0,0,0,0.035,0.65,0.313,0,0,0.002,0,0,0,0,0
2019,Alcoa Power Generating Inc. - Yadkin Division,YAD,215,0,0,9140289,3140862,1026422,352708,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,,,,,,,,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,--,0,0,0,0,1026422,0,0,0,0,0,0,0,1026422,0,0,1026422,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Anchorage Municipal Light & Power,AMPL,595,6034108,2192372,7734705,2936194,868795,321841,896,323,15,330597,12475,1248,330939,--,2.063,2.004,0.035,761.048,0.014,0.001,761.835,--,0.297,0.294,0.005,109.576,0.002,0,109.689,--,2.644,2.569,0.045,975.466,0.018,0.002,976.475,--,0,0,2.796,2.796,0,0,2.892,2.892,0,0,0.028,0.028,0,0,1031.596,1031.596,0,0,0.0195,0.0195,0,0,0.0019,0.0019,0,0,1032.663,1032.663,--,--,0,0,0.317,0.317,0,0,0.317,0.317,0,0,0.003,0.003,0,0,116.89,116.89,0,0,0.0022,0.0022,0,0,0.0002,0.0002,0,0,117.011,117.011,--,--,2.684,2.755,0.041,990.399,0.019,0.002,991.424,--,0,57,640882,0,190971,36884,0,0,0,0,0,640939,227855,36884,677824,190971,0,0,0.738,0,0.22,0.042,0,0,0,0,0,0.738,0.262,0.042,0.78,0.22,0,0,640926,0,0,26673,0,0,0,0,0,0,0,0.96,0,0,0.04,0,0,0,0,0
2019,Arizona Public Service Company,AZPS,10359,160524295,74271694,181816217,85437827,18542270,8715086,6671,2940,3460,14861446,3135276,448579,14967475,--,0.72,0.675,0.373,1602.98,0.169,0.024,1614.417,--,0.083,0.079,0.043,185.161,0.02,0.003,186.482,--,0.826,0.775,0.428,1840.283,0.194,0.028,1853.412,--,1.022,42.644,0.196,0.803,0.978,42.667,0.177,0.766,0.581,24.475,0.004,0.428,2253.775,7911.593,794.423,1866.945,0.24,0.3204,0.0207,0.1819,0.0349,0.0641,0.0021,0.0262,2270.173,7938.712,795.559,1879.298,--,--,0.093,0.88,0.029,0.082,0.089,0.879,0.026,0.078,0.053,0.505,0.001,0.044,205.2,163.325,118.842,189.654,0.0218,0.0066,0.0031,0.0185,0.0032,0.0013,0.0003,0.0027,206.693,163.885,119.012,190.909,--,--,0.823,0.784,0.419,1776.972,0.167,0.024,1788.3,--,11577711,6927,4335956,0,0,230667,371155,2019853,0,0,0,15920595,2621676,2621676,16151262,2391008,0.624,0,0.234,0,0,0.012,0.02,0.109,0,0,0,0.859,0.141,0.141,0.871,0.129,7628924,59,3941365,0,0,7990,0,0,0,0,0,0.659,0,0.34,0,0,0.001,0,0,0,0,0
2019,Arlington Valley LLC - AVBA,DEAA,713,21426908,10316086,21426908,10316086,2928495,1398136,81,39,6,1273371,47388,4739,1274670,--,0.056,0.056,0.004,869.642,0.016,0.002,870.529,--,0.008,0.008,0.001,118.857,0.002,0,118.978,--,0.056,0.056,0.004,869.642,0.016,0.002,870.529,--,0,0,0.056,0.056,0,0,0.056,0.056,0,0,0.004,0.004,0,0,869.642,869.642,0,0,0.0162,0.0162,0,0,0.0016,0.0016,0,0,870.529,870.529,--,--,0,0,0.008,0.008,0,0,0.008,0.008,0,0,0.001,0.001,0,0,118.857,118.857,0,0,0.0022,0.0022,0,0,0.0002,0.0002,0,0,118.978,118.978,--,--,0.056,0.056,0.004,869.642,0.016,0.002,870.529,--,0,0,2928495,0,0,0,0,0,0,0,0,2928495,0,0,2928495,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1616196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,Associated Electric Cooperative Inc.,AECI,6859,231599402,99164515,243687974,103712789,27774415,11565415,23687,3799,29981,20452606,3788998,542841,20580851,--,1.706,0.657,2.159,1472.766,0.136,0.02,1482.001,--,0.205,0.077,0.259,176.621,0.016,0.002,177.728,--,1.8,0.693,2.278,1554.102,0.144,0.021,1563.846,--,3.075,29.747,0.109,1.801,1.132,29.67,0.114,0.691,3.993,2.65,0.005,2.28,2063.105,1490.921,881.027,1555.372,0.2404,0.0604,0.0161,0.1441,0.035,0.0121,0.0016,0.0206,2079.538,1496.03,881.908,1565.125,--,--,0.313,3.259,0.015,0.205,0.112,3.266,0.015,0.077,0.406,0.29,0.001,0.259,209.757,163.326,118.847,176.845,0.0244,0.0066,0.0022,0.0164,0.0036,0.0013,0.0002,0.0023,211.428,163.886,118.966,177.953,--,--,1.7,0.568,1.615,1372.544,0.111,0.016,1379.981,--,14995013,8649,11295651,0,154580,21497,1295297,3728,0,0,0,26299313,1475102,1320522,26320810,1453605,0.54,0,0.407,0,0.006,0.001,0.047,0,0,0,0,0.947,0.053,0.048,0.948,0.052,2453491,514,3438461,0,0,6682,0,0,0,0,0,0.416,0,0.583,0,0,0.001,0,0,0,0,0
2019,Avangrid Renewables LLC,AVRN,2326,25862610,8627974,51421430,23678098,6263910,2824838,205,69,8,1536983,54880,5488,1538487,--,0.065,0.049,0.002,490.742,0.009,0.001,491.223,--,0.016,0.016,0.001,118.858,0.002,0,118.974,--,0.121,0.09,0.005,905.774,0.016,0.002,906.661,--,0,0,0.121,0.121,0,0,0.122,0.122,0,0,0.005,0.005,0,0,905.774,905.774,0,0,0.0162,0.0162,0,0,0.0016,0.0016,0,0,906.66,906.66,--,--,0,0,0.016,0.016,0,0,0.016,0.016,0,0,0.001,0.001,0,0,118.858,118.858,0,0,0.0021,0.0021,0,0,0.0002,0.0002,0,0,118.974,118.974,--,--,0.142,0.139,0.005,1002.155,0.018,0.002,1003.158,--,0,0,3393744,0,0,0,2851339,18826,0,0,0,3393744,2870165,2870165,3393744,2870165,0,0,0.542,0,0,0,0.455,0.003,0,0,0,0.542,0.458,0.458,0.542,0.458,0,0,336948,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,Avista Corporation,AVA,2420,24919247,9389255,67721834,29712225,7775968,3362244,1958,808,510,1067320,586561,81398,1086780,--,0.504,0.48,0.131,274.518,0.075,0.01,279.523,--,0.157,0.172,0.041,85.662,0.024,0.003,87.224,--,1.319,1.258,0.343,718.882,0.198,0.027,731.989,--,0,39.08,0.915,0.922,0,40.088,1.176,1.184,0,1.568,0.005,0.006,0,1882.242,870.151,870.344,0,0.0536,0.0167,0.0167,0,0.0089,0.0017,0.0017,0,1886.226,871.067,871.26,--,--,0,2.861,0.125,0.126,0,2.831,0.152,0.153,0,0.115,0.001,0.001,0,137.785,118.772,118.779,0,0.0039,0.0023,0.0023,0,0.0006,0.0002,0.0002,0,138.077,118.897,118.904,--,--,2.25,2.537,0.602,720.92,0.196,0.029,734.41,--,0,150,2134365,0,4454319,834873,308922,43339,0,0,0,2134515,5641453,1187134,2969388,4806580,0,0,0.274,0,0.573,0.107,0.04,0.006,0,0,0,0.275,0.725,0.153,0.382,0.618,0,389,588370,0,0,411582,0,0,0,0,0,0,0,0.588,0,0,0.411,0,0,0,0,0
2019,Balancing Authority of Northern California,BANC,3066,40954539,17999570,63185912,29700370,8017608,3718816,152,64,33,2355732,87239,8741,2358125,--,0.038,0.034,0.008,587.64,0.011,0.001,588.236,--,0.007,0.007,0.002,115.041,0.002,0,115.158,--,0.055,0.05,0.012,853.356,0.016,0.002,854.222,--,0,10.979,0.064,0.056,0,10.482,0.065,0.054,0,4.83,0.005,0.007,0,2525.99,885.123,864.149,0,0.0817,0.017,0.016,0,0.0145,0.0017,0.0016,0,2532.341,886.056,865.027,--,--,0,0.609,0.009,0.008,0,0.582,0.008,0.007,0,0.268,0.001,0.001,0,140.107,118.003,117.507,0,0.0045,0.0023,0.0022,0,0.0008,0.0002,0.0002,0,140.46,118.128,117.627,--,--,0.064,0.062,0.009,875.451,0.016,0.002,876.356,--,0,1404,5396746,0,2220854,122953,0,275651,0,0,0,5398150,2619458,398604,5521103,2496505,0,0,0.673,0,0.277,0.015,0,0.034,0,0,0,0.673,0.327,0.05,0.689,0.311,0,2659,2078696,0,0,0,0,0,0,1081917,0,0,0.001,0.657,0,0,0,0,0,0,0.342,0
2019,Bonneville Power Administration,BPAT,33545,171146011,65647308,930209152,391777706,103112540,43717969,10982,3811,3234,13454324,2331943,338135,13533855,--,0.213,0.174,0.063,260.964,0.023,0.003,262.506,--,0.128,0.116,0.038,157.226,0.014,0.002,158.156,--,1.133,0.927,0.334,1387.48,0.12,0.017,1395.682,--,2.284,0,0.432,1.167,2.288,0,0.353,1.026,0.636,0,0.008,0.257,2445.5,0,854.083,1486.036,0.2691,0,0.0162,0.1166,0.0391,0,0.0016,0.0165,2463.889,0,854.973,1493.875,--,--,0.196,0,0.06,0.13,0.197,0,0.049,0.117,0.055,0,0.001,0.029,209.761,0,118.526,165.593,0.0231,0,0.0023,0.013,0.0034,0,0.0002,0.0018,211.338,0,118.65,166.467,--,--,1.205,1.06,0.449,1562.707,0.145,0.021,1572.706,--,7170102,17500,11010642,8866499,68253800,1195764,6367040,135693,95614,0,-114,27064629,76047911,7794111,19393894,83718646,0.07,0,0.107,0.086,0.662,0.012,0.062,0.001,0.001,0,0,0.262,0.738,0.076,0.188,0.812,4073573,0,3875729,0,0,627006,0,0,0,0,0,0.475,0,0.452,0,0,0.073,0,0,0,0,0
