YEAR,REGION,ESTLOSS,TOTDISP,DIRCTUSE,GGRSLOSS
2019,Alaska,315518,6070843,243980,0.054
2019,Eastern,149290468,3007039816,93272853,0.051
2019,ERCOT,19692962,418434272,31188332,0.051
2019,Hawaii,512572,9749998,411519,0.055
2019,Western,36498916,737874733,18106177,0.051
2019,U.S.,206310436,4179169662,143222861,0.051
