YEAR,PSTATABB,FIPSST,STNAMEPCAP,STHTIAN,STHTIOZ,STHTIANT,STHTIOZT,STNGENAN,STNGENOZ,STNOXAN,STNOXOZ,STSO2AN,STCO2AN,STCH4AN,STN2OAN,STCO2EQA,STHGAN,STNOXRTA,STNOXRTO,STSO2RTA,STCO2RTA,STCH4RTA,STN2ORTA,STC2ERTA,STHGRTA,STNOXRA,STNOXRO,STSO2RA,STCO2RA,STCH4RA,STN2ORA,STC2ERA,STHGRA,STNOXCRT,STNOXCRO,STSO2CRT,STCO2CRT,STCH4CRT,STN2OCRT,STC2ECRT,STHGCRT,STCNOXRT,STONOXRT,STGNOXRT,STFSNXRT,STCNXORT,STONXORT,STGNXORT,STFSNORT,STCSO2RT,STOSO2RT,STGSO2RT,STFSS2RT,STCCO2RT,STOCO2RT,STGCO2RT,STFSC2RT,STCCH4RT,STOCH4RT,STGCH4RT,STFCH4RT,STCN2ORT,STON2ORT,STGN2ORT,STFN2ORT,STCC2ERT,STOC2ERT,STGC2ERT,STFSC2ERT,STCHGRT,STFSHGRT,STCNOXR,STONOXR,STGNOXR,STFSNXR,STCNXOR,STONXOR,STGNXOR,STFSNOR,STCSO2R,STOSO2R,STGSO2R,STFSS2R,STCCO2R,STOCO2R,STGCO2R,STFSC2R,STCCH4R,STOCH4R,STGCH4R,STFCH4R,STCN2OR,STON2OR,STGN2OR,STFN2OR,STCC2ER,STOC2ER,STGC2ER,STFSC2ER,STCHGR,STFSHGR,STNBNOX,STNBNXO,STNBSO2,STNBCO2,STNBCH4,STNBN2O,STNBC2E,STNBHG,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,STGENAOF,STGENAOP,STGENATN,STGENATR,STGENATH,STGENACY,STGENACN,STCLPR,STOLPR,STGSPR,STNCPR,STHYPR,STBMPR,STWIPR,STSOPR,STGTPR,STOFPR,STOPPR,STTNPR,STTRPR,STTHPR,STCYPR,STCNPR,STNBGNCL,STNBGNOL,STNBGNGS,STNBGNNC,STNBGNHY,STNBGNBM,STNBGNWI,STNBGNSO,STNBGNGT,STNBGNOF,STNBGNOP,STNBCLPR,STNBOLPR,STNBGSPR,STNBNCPR,STNBHYPR,STNBBMPR,STNBWIPR,STNBSOPR,STNBGTPR,STNBOFPR,STNBOPPR
2019,AK,2,3577,41091936,15785366,56817777,22595129,6068243,2410625,20241,7886,2168,2942057,481477,66982,2958055,--,6.671,6.542,0.714,969.657,0.079,0.011,974.93,--,0.985,0.999,0.106,143.194,0.012,0.002,143.973,--,9.409,9.228,1.008,1367.672,0.112,0.016,1375.109,--,2.068,17.408,8.713,9.431,2.035,17.536,8.757,9.607,2.702,2.628,0.029,1.008,2283.79,1560.441,1077.247,1375.556,0.2574,0.2775,0.0203,0.1127,0.0375,0.0396,0.002,0.0157,2301.409,1579.185,1078.361,1383.041,--,--,0.191,1.847,0.945,0.991,0.186,1.855,0.949,1.005,0.25,0.279,0.003,0.106,211.407,165.531,116.889,144.491,0.0238,0.0294,0.0022,0.0118,0.0035,8.405,0.0002,0.0016,213.038,167.519,117.01,145.277,--,--,9.257,9.574,1.027,1363.836,0.113,0.016,1371.377,--,683055,898595,2686990,0,1623366,37547,142591,0,0,0,-3902,4264738,1803504,180138,4302285,1765957,0.112,0.148,0.443,0,0.267,0.006,0.023,0,0,0,0,0.703,0.297,0.03,0.709,0.291,396420,812097,1915623,0,0,26673,0,0,0,0,0,0.126,0.258,0.608,0,0,0.008,0,0,0,0,0
2019,AL,1,39621,734684669,346456512,1295527860,589517937,142679433,64623509,21325,9801,9890,55780846,7897602,1158990,56042549,--,0.299,0.303,0.139,781.905,0.055,0.008,785.573,--,0.058,0.057,0.027,151.85,0.011,0.002,152.562,--,0.489,0.496,0.227,1278.902,0.091,0.013,1284.902,--,0.807,38.533,0.204,0.478,0.808,38.567,0.206,0.471,0.331,3.657,0.005,0.153,1900.988,2059.677,844.632,1323.638,0.1762,0.0834,0.019,0.0903,0.0254,0.0167,0.0023,0.0128,1912.958,2066.734,845.494,1329.537,--,--,0.08,3.056,0.028,0.056,0.079,3.055,0.028,0.055,0.033,0.29,0.001,0.018,187.487,163.326,117.1,154.995,0.0174,0.0066,0.0026,0.0106,0.0025,2.6456,0.0003,0.0015,188.667,163.885,117.22,155.686,--,--,0.553,0.563,0.236,1158.089,0.063,0.009,1162.299,--,26655067,19920,57197370,43656862,11405216,3357457,0,384939,0,2657,-56,127531820,15147612,3742396,87232416,55447017,0.187,0,0.401,0.306,0.08,0.024,0,0.003,0,0,0,0.894,0.106,0.026,0.611,0.389,13820942,979,24165391,0,0,1127254,0,0,0,3031,0,0.353,0,0.618,0,0,0.029,0,0,0,0,0
2019,AR,5,19857,419256650,204675967,599795550,275548695,63857739,28711640,18347,9318,41352,35806587,6043674,884622,36013942,--,0.575,0.649,1.295,1121.449,0.095,0.014,1127.943,--,0.088,0.091,0.197,170.81,0.014,0.002,171.799,--,0.8,0.903,1.802,1560.559,0.132,0.019,1569.596,--,1.382,37.333,0.162,0.789,1.515,37.009,0.201,0.858,3.455,3.333,0.006,1.78,2315.563,1923.556,871.535,1614.231,0.2452,0.0779,0.0162,0.134,0.0357,0.0156,0.0016,0.0191,2332.324,1930.222,872.424,1623.284,--,--,0.125,3.17,0.022,0.085,0.131,3.149,0.026,0.09,0.312,0.283,0.001,0.192,208.948,163.322,118.855,174.303,0.0221,0.0066,0.0022,0.0145,0.0032,2.6415,0.0002,0.0021,210.46,163.888,118.977,175.28,--,--,0.901,0.95,2.141,1557.186,0.126,0.018,1565.806,--,22731353,46234,21772400,13574947,4185420,1334615,0,207930,0,5068,-229,58129774,5727965,1542545,45889442,17968297,0.356,0.001,0.341,0.213,0.066,0.021,0,0.003,0,0,0,0.91,0.09,0.024,0.719,0.281,11052433,9,12334500,0,0,818268,0,0,0,0,0,0.457,0,0.51,0,0,0.034,0,0,0,0,0
2019,AZ,4,41606,633812937,311406688,1074295701,511440061,113368628,54003899,29341,14888,12170,49268866,7024692,987300,49503782,--,0.518,0.551,0.215,869.18,0.062,0.009,873.324,--,0.093,0.096,0.038,155.468,0.011,0.002,156.209,--,0.845,0.901,0.351,1419.645,0.101,0.014,1426.414,--,1.911,42.644,0.315,0.84,1.988,42.667,0.337,0.874,1.045,24.475,0.01,0.35,2387.495,7911.593,951.883,1423.89,0.2614,0.3204,0.018,0.098,0.038,0.0641,0.0019,0.0138,2405.361,7938.712,952.915,1430.457,--,--,0.166,0.88,0.04,0.092,0.171,0.879,0.042,0.095,0.091,0.505,0.001,0.038,207.104,163.325,120.244,156.406,0.0227,0.0066,0.0023,0.0108,0.0033,2.6452,0.0002,0.0015,208.654,163.885,120.374,157.128,--,--,0.875,0.91,0.359,1460.706,0.101,0.014,1467.457,--,23217974,63748,45902153,31920368,6206912,230667,554374,5276873,0,0,-4442,101099802,12268827,6061915,69410101,43958527,0.205,0.001,0.405,0.282,0.055,0.002,0.005,0.047,0,0,0,0.892,0.108,0.053,0.612,0.388,14705925,59,29064536,0,0,7990,0,0,0,0,0,0.336,0,0.664,0,0,0,0,0,0,0,0
2019,CA,6,109745,722844593,304105644,1707003763,815311318,201747828,95130826,35486,15184,3400,38896098,5367467,660410,39056658,--,0.352,0.319,0.034,385.591,0.027,0.003,387.183,--,0.098,0.1,0.009,107.62,0.007,0.001,108.064,--,0.753,0.683,0.072,825.04,0.057,0.007,828.446,--,1.241,10.546,0.611,0.61,1.386,9.663,0.645,0.638,0.003,0.773,0.008,0.009,1148.629,1864.378,851.005,853.099,0.1292,0.0228,0.0162,0.0165,0.0188,0.0044,0.0016,0.0017,1157.449,1866.259,851.887,854.004,--,--,0.222,1.077,0.084,0.084,0.223,1.016,0.087,0.086,0.001,0.079,0.001,0.001,205.81,190.446,116.775,117.125,0.0231,0.0023,0.0022,0.0023,0.0034,0.8983,0.0002,0.0002,207.391,190.638,116.896,117.25,--,--,0.651,0.679,0.021,861.84,0.041,0.005,864.334,--,240456,49583,85839066,16165384,38324154,6091066,13730984,28324249,10914107,1476205,592576,104363268,97384559,59060406,94288950,107458877,0.001,0,0.425,0.08,0.19,0.03,0.068,0.14,0.054,0.007,0.003,0.517,0.483,0.293,0.467,0.533,143111,104620,51980807,0,0,1916113,0,0,0,1081917,0,0.003,0.002,0.941,0,0,0.035,0,0,0,0.02,0
2019,CO,8,22304,421446883,176473605,545610682,229210528,56336873,23730755,20009,7931,11414,37259672,6932270,992750,37494245,--,0.71,0.668,0.405,1322.745,0.123,0.018,1331.073,--,0.095,0.09,0.054,176.818,0.016,0.002,177.931,--,0.938,0.883,0.535,1747.346,0.163,0.023,1758.347,--,1.352,28.57,0.299,0.937,1.313,19.631,0.302,0.884,0.884,12.233,0.005,0.537,2240.805,4106.082,1016.407,1756.534,0.2549,0.1663,0.0183,0.1613,0.0371,0.0333,0.0018,0.0231,2258.22,4120.15,1017.411,1767.457,--,--,0.126,1.136,0.035,0.095,0.122,1.128,0.035,0.09,0.082,0.487,0.001,0.054,208.287,163.326,118.813,177.658,0.0237,0.0066,0.0021,0.0163,0.0034,2.6456,0.0002,0.0023,209.906,163.885,118.93,178.763,--,--,0.797,0.765,0.403,1576.425,0.126,0.018,1584.879,--,25319641,7962,17097116,0,1619119,162043,10852376,1218220,0,0,60396,42485115,13851758,12232639,42647158,13689715,0.449,0,0.303,0,0.029,0.003,0.193,0.022,0,0,0.001,0.754,0.246,0.217,0.757,0.243,10065824,2967,12071173,0,0,43629,0,0,0,0,0,0.454,0,0.544,0,0,0.002,0,0,0,0,0
2019,CT,9,12815,166386789,70423455,346263247,146449849,40050038,17499603,4691,2105,426,9499417,1952481,246374,9560385,--,0.234,0.241,0.021,474.377,0.049,0.006,477.422,--,0.056,0.06,0.005,114.185,0.012,0.001,114.918,--,0.413,0.424,0.037,835.631,0.086,0.011,840.995,--,0,20.762,0.196,0.208,0,6.529,0.203,0.214,0,6.186,0.013,0.017,0,5778.195,783.955,786.898,0,0.1837,0.0165,0.0166,0,0.0315,0.0017,0.0017,0,5792.174,784.862,787.812,--,--,0,0.499,0.029,0.031,0,0.283,0.032,0.034,0,0.149,0.002,0.002,0,138.767,117.252,117.331,0,0.0044,0.0025,0.0025,0,1.5129,0.0003,0.0003,0,139.103,117.388,117.467,--,--,0.359,0.353,0.048,768.234,0.059,0.007,771.868,--,53052,12196,21343095,16733398,430072,1327557,12215,138453,0,0,0,38141741,1908297,1478225,22735900,17314138,0.001,0,0.533,0.418,0.011,0.033,0,0.003,0,0,0,0.952,0.048,0.037,0.568,0.432,0,18887,8400560,0,0,265108,0,0,0,0,0,0,0.002,0.967,0,0,0.031,0,0,0,0,0
2019,DC,11,50,1594084,714865,1672708,756319,174080,71930,279,123,3,69333,3564,356,69431,--,3.211,3.408,0.037,796.57,0.02,0.002,797.692,--,0.351,0.343,0.004,86.988,0.002,0,87.111,--,3.383,3.59,0.039,839.128,0.022,0.002,840.31,--,0,0,3.117,3.117,0,0,3.553,3.553,0,0,0.034,0.034,0,0,1259.2,1259.2,0,0,0.0237,0.0237,0,0,0.0024,0.0024,0,0,1260.501,1260.501,--,--,0,0,0.289,0.289,0,0,0.289,0.289,0,0,0.003,0.003,0,0,116.889,116.889,0,0,0.0022,0.0022,0,0,0.0002,0.0002,0,0,117.01,117.01,--,--,3.867,4.91,0.044,663.082,0.022,0.002,664.27,--,0,0,110123,0,0,55128,0,8829,0,0,0,110123,63957,63957,165251,8829,0,0,0.633,0,0,0.317,0,0.051,0,0,0,0.633,0.367,0.367,0.949,0.051,0,0,28354,0,0,32496,0,0,0,0,0,0,0,0.466,0,0,0.534,0,0,0,0,0
2019,DE,10,4067,32362465,19688842,32888543,19934980,5258538,2979775,450,284,306,1866712,134177,15959,1870668,--,0.171,0.19,0.116,709.974,0.026,0.003,711.478,--,0.028,0.029,0.019,115.363,0.004,0,115.607,--,0.173,0.192,0.118,718.04,0.026,0.003,719.562,--,1.223,0.365,0.057,0.224,1.042,0.337,0.056,0.236,4.07,0.053,0.004,0.154,2976.955,1043.037,753.241,946.215,0.4394,0.0196,0.0159,0.0309,0.0641,0.002,0.0016,0.0038,3007.032,1044.127,754.022,948.056,--,--,0.084,0.042,0.008,0.028,0.082,0.039,0.008,0.029,0.281,0.006,0.001,0.019,205.18,119.259,105.847,117.698,0.0303,0.0022,0.0022,0.0038,0.0044,0.4605,0.0002,0.0005,207.253,119.383,105.956,117.927,--,--,0.248,0.262,0.176,847.844,0.032,0.004,849.823,--,119120,18718,4806239,0,0,61389,5270,53807,0,193994,0,5138072,120466,120466,5199461,59077,0.023,0.004,0.914,0,0,0.012,0.001,0.01,0,0.037,0,0.977,0.023,0.023,0.989,0.011,121056,1612165,868488,0,0,26162,0,0,0,0,0,0.046,0.613,0.33,0,0,0.01,0,0,0,0,0
2019,FL,12,108055,1649071242,804732401,2001477421,944944651,244949921,117046082,40369,19571,21423,107001639,13757340,1819770,107444751,--,0.33,0.334,0.175,873.661,0.056,0.007,877.279,--,0.049,0.049,0.026,129.772,0.008,0.001,130.309,--,0.381,0.387,0.202,1010.488,0.065,0.009,1014.673,--,0.7,8.823,0.185,0.287,0.734,8.773,0.188,0.291,0.777,4.458,0.03,0.178,1675.129,1829.273,855.425,1017.925,0.1414,0.1045,0.018,0.0425,0.0203,0.0209,0.0019,0.0056,1684.719,1838.11,856.452,1020.65,--,--,0.072,0.787,0.026,0.037,0.075,0.808,0.026,0.038,0.08,0.398,0.004,0.023,173.093,163.113,119.399,132.842,0.0146,0.0093,0.0025,0.0055,0.0021,3.7258,0.0003,0.0007,174.084,163.901,119.543,133.198,--,--,0.368,0.37,0.212,1046.782,0.057,0.007,1050.429,--,21248194,1525202,181445758,29108066,209882,6062832,0,3849893,0,4404,1495690,234827314,10122607,9912725,211782080,33167841,0.087,0.006,0.741,0.119,0.001,0.025,0,0.016,0,0,0.006,0.959,0.041,0.04,0.865,0.135,31395020,6021,110294977,0,0,2229292,0,0,0,0,0,0.218,0,0.766,0,0,0.015,0,0,0,0,0
